route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1-644,1,"Shorncliffe station - Murarrie (Metroplex)",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/1,8DC63F,000000
27-2063,27,"Kangaroo Point - City shuttle",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/27,8DC63F,000000
27-2143,27,"Kangaroo Point - City shuttle",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/27,8DC63F,000000
28-2063,28,"Langlands Park - UQ Lakes shuttle",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/28,8DC63F,000000
28-2143,28,"Langlands Park - UQ Lakes shuttle",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/28,8DC63F,000000
29-2063,29,"Woolloongabba - UQ Lakes Shuttle",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/29,8DC63F,000000
29-2143,29,"Woolloongabba - UQ Lakes Shuttle",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/29,8DC63F,000000
30-2063,30,"Spring Hill  Loop",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/30,FFD51F,000000
30-2143,30,"Spring Hill  Loop",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/30,FFD51F,000000
40-2063,40,"City Loop (Clockwise)",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/40,D20000,FFFFFF
40-2143,40,"City Loop (Clockwise)",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/40,D20000,FFFFFF
50-2063,50,"City Loop (Anti-Clockwise)",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/50,D20000,FFFFFF
50-2143,50,"City Loop (Anti-Clockwise)",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/50,D20000,FFFFFF
60-2063,60,"West End - Teneriffe Ferry via City/Valley",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/60,6DD0F6,000000
60-2143,60,"West End - Teneriffe Ferry via City/Valley",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/60,6DD0F6,000000
61-2063,61,"Ashgrove Shops - Coorparoo via City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/61,7A0046,FFFFFF
61-2143,61,"Ashgrove Shops - Coorparoo via City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/61,7A0046,FFFFFF
66-2063,66,"UQ Lakes - RBWH via City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/66,8DC63F,000000
66-2143,66,"UQ Lakes - RBWH via City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/66,8DC63F,000000
